漢字;Romaji;Cara Baca;インドネシア語;第～週;～日目;Hari ke-;Furigana Map
簡単（な）;kantan (na);かんたん（な）;mudah;第5週;2日目;Hari ke-30;簡:かん|単:たん
単語;tango;たんご;kosakata;第5週;2日目;Hari ke-30;単:たん|語:ご
単位;tan'i;たんい;satuan, kredit;第5週;2日目;Hari ke-30;単:たん|位:い
感じる;kanjiru;かんじる;merasakan;第5週;2日目;Hari ke-30;感:かん
感動;kandō;かんどう;terharu;第5週;2日目;Hari ke-30;感:かん|動:どう
感想;kansō;かんそう;kesan;第5週;2日目;Hari ke-30;感:かん|想:そう
予想;yosō;よそう;perkiraan;第5週;2日目;Hari ke-30;予:よ|想:そう
練習;renshū;れんしゅう;latihan;第5週;3日目;Hari ke-31;練:れん|習:しゅう
最近;saikin;さいきん;akhir-akhir ini;第5週;3日目;Hari ke-31;最:さい|近:きん
最初;saisho;さいしょ;paling awal, pertama kali;第5週;3日目;Hari ke-31;最:さい|初:しょ
最後;saigo;さいご;paling akhir, terakhir;第5週;3日目;Hari ke-31;最:さい|後:ご
最も;mottomo;もっとも;paling;第5週;3日目;Hari ke-31;最:もっと
適当（な）;tekitō (na);てきとう（な）;sesuai, asal;第5週;3日目;Hari ke-31;適:てき|当:とう
快適（な）;kaiteki (na);かいてき（な）;nyaman;第5週;3日目;Hari ke-31;快:かい|適:てき
選ぶ;erabu;えらぶ;memilih;第5週;3日目;Hari ke-31;選:えら
選挙;senkyo;せんきょ;pemilu;第5週;3日目;Hari ke-31;選:せん|挙:きょ
選手;senshu;せんしゅ;atlet, pemain;第5週;3日目;Hari ke-31;選:せん|手:しゅ
違う;chigau;ちがう;berbeda, bukan, salah;第5週;3日目;Hari ke-31;違:ちが
間違い;machigai;まちがい;kesalahan;第5週;3日目;Hari ke-31;間:ま|違:ちが
間違う, 間違える;machigau, machigaeru;まちがう, まちがえる;membuat kesalahan;第5週;3日目;Hari ke-31;間:ま|違:ちが|間:ま|違:ちが
辞める;yameru;やめる;berhenti;第5週;3日目;Hari ke-31;辞:や
辞書;jisho;じしょ;kamus;第5週;3日目;Hari ke-31;辞:じ|書:しょ
直す;naosu;なおす;memperbaiki, membetulkan;第5週;3日目;Hari ke-31;直:なお
直る;naoru;なおる;diperbaiki, sembuh, benar;第5週;3日目;Hari ke-31;直:なお
直線;chokusen;ちょくせん;garis lurus;第5週;3日目;Hari ke-31;直:ちょく|線:せん
直接;chokusetsu;ちょくせつ;langsung;第5週;3日目;Hari ke-31;直:ちょく|接:せつ
復習;fukushū;ふくしゅう;belajar mengulang, review;第5週;3日目;Hari ke-31;復:ふく|習:しゅう
往復;ōfuku;おうふく;pulang pergi;第5週;3日目;Hari ke-31;往:おう|復:ふく
回復;kaifuku;かいふく;pulih, sembuh;第5週;3日目;Hari ke-31;回:かい|復:ふく
宿;yado;やど;penginapan, tempat menginap;第5週;3日目;Hari ke-31;宿:やど
下宿;geshuku;げしゅく;kos-kosan;第5週;3日目;Hari ke-31;下:げ|宿:しゅく
宿題;shukudai;しゅくだい;pekerjaan rumah;第5週;3日目;Hari ke-31;宿:しゅく|題:だい
昨日, 昨日;kinō, sakujitsu;きのう、さくじつ;kemarin;第5週;4日目;Hari ke-32;昨:き|日:のう|昨:さく|日:じつ
昨夜;sakuya;さくや;semalam;第5週;4日目;Hari ke-32;昨:さく|夜:や
昨年;sakunen;さくねん;tahun lalu;第5週;4日目;Hari ke-32;昨:さく|年:ねん
~君;~kun;~くん;(panggilan);第5週;4日目;Hari ke-32;君:~くん
君;kimi;きみ;kamu;第5週;4日目;Hari ke-32;君:きみ
結ぶ;musubu;むすぶ;mengikat;第5週;4日目;Hari ke-32;結:むす
結構;kekkō;けっこう;lumayan, cukup;第5週;4日目;Hari ke-32;結:けっ|構:こう
結局;kekkyoku;けっきょく;akhirnya;第5週;4日目;Hari ke-32;結:けっ|局:きょく
結婚;kekkon;けっこん;pernikahan, menikah;第5週;4日目;Hari ke-32;結:けっ|婚:こん
婚約;konyaku;こんやく;pertunangan;第5週;4日目;Hari ke-32;婚:こん|約:やく
新婚旅行;shinkonryokō;しんこんりょこう;bulan madu;第5週;4日目;Hari ke-32;新:しん|婚:こん|旅:りょ|行:こう
祝う;iwau;いわう;merayakan;第5週;4日目;Hari ke-32;祝:いわ
お祝い;oiwai;おいわい;perayaan;第5週;4日目;Hari ke-32;祝:いわ
祝日;shukujitsu;しゅくじつ;hari libur nasional;第5週;4日目;Hari ke-32;祝:しゅく|日:じつ
奥;oku;おく;bagian dalam, jauh di dalam;第5週;4日目;Hari ke-32;奥:おく
奥さん;okusan;おくさん;istri (orang lain);第5週;4日目;Hari ke-32;奥:おく
曲がる;magaru;まがる;belok;第5週;4日目;Hari ke-32;曲:ま
曲げる;mageru;まげる;membelokkan;第5週;4日目;Hari ke-32;曲:ま
曲;kyoku;きょく;lagu;第5週;4日目;Hari ke-32;曲:きょく
曲線;kyokusen;きょくせん;garis lengkung;第5週;4日目;Hari ke-32;曲:きょく|線:せん
寝る;neru;ねる;tidur;第5週;4日目;Hari ke-32;寝:ね
昼寝;hirune;ひるね;tidur siang;第5週;4日目;Hari ke-32;昼:ひる|寝:ね
寝坊;nebō;ねぼう;kesiangan;第5週;4日目;Hari ke-32;寝:ね|坊:ぼう
痛い;itai;いたい;sakit;第5週;5日目;Hari ke-33;痛:いた
腹痛;fukutsū;ふくつう;sakit perut;第5週;5日目;Hari ke-33;腹:ふく|痛:つう
頭痛;zutsū;ずつう;sakit kepala;第5週;5日目;Hari ke-33;頭:ず|痛:つう
熱い;atsui;あつい;panas;第5週;5日目;Hari ke-33;熱:あつ
熱;netsu;ねつ;demam;第5週;5日目;Hari ke-33;熱:ねつ
熱心;nesshin;ねっしん;giat, sungguh-sungguh;第5週;5日目;Hari ke-33;熱:ねっ|心:しん
虫;mushi;むし;serangga;第5週;5日目;Hari ke-33;虫:むし
歯医者;haisha;はいしゃ;dokter gigi;第5週;5日目;Hari ke-33;歯:は|医:い|者:しゃ
歯;ha;は;gigi;第5週;5日目;Hari ke-33;歯:は
虫歯;mushiba;むしば;gigi bolong;第5週;5日目;Hari ke-33;虫:むし|歯:ば
歯科;shika;しか;klinik gigi;第5週;5日目;Hari ke-33;歯:し|科:か
政治;seiji;せいじ;politik;第5週;5日目;Hari ke-33;政:せい|治:じ
治す;naosu;なおす;menyembuhkan;第5週;5日目;Hari ke-33;治:なお
治る;naoru;なおる;sembuh;第5週;5日目;Hari ke-33;治:なお
治療;chiryō;ちりょう;penyembuhan;第5週;5日目;Hari ke-33;治:ち|療:りょう
汚い;kitanai;きたない;kotor;第5週;5日目;Hari ke-33;汚:きたな
汚れる;yogoreru;よごれる;kotor;第5週;5日目;Hari ke-33;汚:よご
並ぶ;narabu;ならぶ;berbaris;第5週;5日目;Hari ke-33;並:なら
並べる;naraberu;ならべる;menyusun;第5週;5日目;Hari ke-33;並:なら
歯並び;hanarabi;はならび;susunan gigi;第5週;5日目;Hari ke-33;歯:は|並:なら
他の;ta no;たの;lain, lainnya;第5週;5日目;Hari ke-33;他:た
その他;sono ta;そのた;lainnya;第5週;5日目;Hari ke-33;他:た
身長;shinchō;しんちょう;tinggi badan;第5週;6日目;Hari ke-34;身:しん|長:ちょう
身分;mibun;みぶん;status sosial;第5週;6日目;Hari ke-34;身:み|分:ぶん
独身;dokushin;どくしん;single;第5週;6日目;Hari ke-34;独:どく|身:しん
刺身;sashimi;さしみ;sashimi;第5週;6日目;Hari ke-34;刺:さし|身:み
お酒;osake;おさけ;sake;第5週;6日目;Hari ke-34;酒:さけ
日本酒;nihonshu;にほんしゅ;sake jepang;第5週;6日目;Hari ke-34;日:に|本:ほん|酒:しゅ
料理酒;ryōrishu;りょうりしゅ;sake untuk masak;第5週;6日目;Hari ke-34;料:りょう|理:り|酒:しゅ
酒屋;sakaya;さかや;toko sake;第5週;6日目;Hari ke-34;酒:さか|屋:や
吸う;su'u;すう;menghisap;第5週;6日目;Hari ke-34;吸:す
呼吸;kokyū;こきゅう;pernafasan;第5週;6日目;Hari ke-34;呼:こ|吸:きゅう
欲しい;hoshī;ほしい;ingin;第5週;6日目;Hari ke-34;欲:ほ
食欲;shokuyoku;しょくよく;nafsu makan;第5週;6日目;Hari ke-34;食:しょく|欲:よく
意欲;iyoku;いよく;keinginan;第5週;6日目;Hari ke-34;意:い|欲:よく
眠い;nemui;ねむい;mengantuk;第5週;6日目;Hari ke-34;眠:ねむ
眠る;nemuru;ねむる;tertidur;第5週;6日目;Hari ke-34;眠:ねむ
睡眠;suimin;すいみん;tidur;第5週;6日目;Hari ke-34;睡:すい|眠:みん
疲れる;tsukareru;つかれる;lelah;第5週;6日目;Hari ke-34;疲:つか
息;iki;いき;nafas;第5週;6日目;Hari ke-34;息:いき
息切れ;ikigire;いきぎれ;habis nafas;第5週;6日目;Hari ke-34;息:いき|切:ぎれ
息子;musuko;むすこ;anak laki-laki;第5週;6日目;Hari ke-34;息:むす|子:こ
呼ぶ;yobu;よぶ;memanggil;第5週;6日目;Hari ke-34;呼:よ
呼吸;kokyū;こきゅう;pernafasan;第5週;6日目;Hari ke-34;呼:こ|吸:きゅう
厚い;atsui;あつい;tebal;第5週;7日目;Hari ke-35;厚:あつ
泣く;naku;なく;menangis;第5週;7日目;Hari ke-35;泣:な
鳴く;naku;なく;berkicau, bersuara;第5週;7日目;Hari ke-35;鳴:な
鳴る;naru;なる;bunyi, berdering;第5週;7日目;Hari ke-35;鳴:な
初め;hajime;はじめ;awal (nya);第5週;7日目;Hari ke-35;初:はじ
初めて;hajimete;はじめて;pertama kali;第5週;7日目;Hari ke-35;初:はじ
最初;saisho;さいしょ;awalnya;第5週;7日目;Hari ke-35;最:さい|初:しょ
初級;shokyū;しょきゅう;level awal;第5週;7日目;Hari ke-35;初:しょ|級:きゅう
泊まる;tomaru;とまる;menginap;第5週;7日目;Hari ke-35;泊:と
泊める;tomeru;とめる;menginap(kan);第5週;7日目;Hari ke-35;泊:と
宿泊;shukuhaku;しゅくはく;penginapan;第5週;7日目;Hari ke-35;宿:しゅく|泊:はく
葉;ha;は;daun;第5週;7日目;Hari ke-35;葉:は
言葉;kotoba;ことば;kosakata;第5週;7日目;Hari ke-35;言:こと|葉:ば
紅葉;kōyō;こうよう;daun musim gugur;第5週;7日目;Hari ke-35;紅:こう|葉:よう
予報;yohō;よほう;ramalan;第6週;1日目;Hari ke-36;予:よ|報:ほう
報告;hōkoku;ほうこく;laporan;第6週;1日目;Hari ke-36;報:ほう|告:こく
晴れ;hare;はれ;cerah;第6週;1日目;Hari ke-36;晴:は
晴れる;hareru;はれる;cerah;第6週;1日目;Hari ke-36;晴:は
雲;kumo;くも;awan;第6週;1日目;Hari ke-36;雲:くも
吹く;fuku;ふく;bertiup;第6週;1日目;Hari ke-36;吹:ふ
暖かい;atatakai;あたたかい;hangat (cuaca);第6週;1日目;Hari ke-36;暖:あたた
暖房;danbō;だんぼう;penghangat ruangan;第6週;1日目;Hari ke-36;暖:だん|房:ぼう
雪;yuki;ゆき;salju;第6週;1日目;Hari ke-36;雪:ゆき
地震;jishin;じしん;gempa bumi;第6週;1日目;Hari ke-36;地:じ|震:しん
震度;shindo;しんど;kuat getaran, intensitas gempa, skala gempa;第6週;1日目;Hari ke-36;震:しん|度:ど
波;nami;なみ;ombak, gelombang;第6週;1日目;Hari ke-36;波:なみ
津波;tsunami;つなみ;tsunami;第6週;1日目;Hari ke-36;津:つ|波:なみ
電波;denpa;でんぱ;jaringan, sinyal;第6週;1日目;Hari ke-36;電:でん|波:ぱ
求める;motomeru;もとめる;meminta, request;第6週;2日目;Hari ke-37;求:もと
求人;kyūjin;きゅうじん;mencari pegawai;第6週;2日目;Hari ke-37;求:きゅう|人:じん
要求;yōkyū;ようきゅう;tuntutan;第6週;2日目;Hari ke-37;要:よう|求:きゅう
請求書;seikyūsho;せいきゅうしょ;surat tagihan (invoice);第6週;2日目;Hari ke-37;請:せい|求:きゅう|書:しょ
募集;boshū;ぼしゅう;perekrutan;第6週;2日目;Hari ke-37;募:ぼ|集:しゅう
職場;shokuba;しょくば;tempat kerja;第6週;2日目;Hari ke-37;職:しょく|場:ば
職業;shokugyō;しょくぎょう;pekerjaan;第6週;2日目;Hari ke-37;職:しょく|業:ぎょう
職員;shokuin;しょくいん;pegawai;第6週;2日目;Hari ke-37;職:しょく|員:いん
転職;tenshoku;てんしょく;pindah kerja;第6週;2日目;Hari ke-37;転:てん|職:しょく
内容;naiyō;ないよう;isi, konten (abstrak);第6週;2日目;Hari ke-37;内:ない|容:よう
美容院;biyōin;びよういん;salon;第6週;2日目;Hari ke-37;美:び|容:よう|院:いん
技術;gijutsu;ぎじゅつ;teknologi;第6週;2日目;Hari ke-37;技:ぎ|術:じゅつ
技術者;gijutsusha;ぎじゅつしゃ;insinyur;第6週;2日目;Hari ke-37;技:ぎ|術:じゅつ|者:しゃ
一般;ippan;いっぱん;umum;第6週;2日目;Hari ke-37;一:いっ|般:ぱん
一般に;ippan ni;いっぱんに;secara umum;第6週;2日目;Hari ke-37;一:いっ|般:ぱん
事務;jimu;じむ;pekerjaan kantor, administrasi;第6週;2日目;Hari ke-37;事:じ|務:む
事務所;jimusho;じむしょ;kantor;第6週;2日目;Hari ke-37;事:じ|務:む|所:しょ
公務員;kōmuin;こうむいん;pegawai negeri (sipil);第6週;2日目;Hari ke-37;公:こう|務:む|員:いん
税務署;zeimusho;ぜいむしょ;kantor pajak;第6週;2日目;Hari ke-37;税:ぜい|務:む|署:しょ
第一課;daiikka;だいいっか;bab 1, bagian pertama;第6週;2日目;Hari ke-37;第:だい|一:いっ|課:か
課長;kachō;かちょう;manager (kepala bagian);第6週;2日目;Hari ke-37;課:か|長:ちょう
野球;yakyū;やきゅう;baseball;第6週;3日目;Hari ke-38;野:や|球:きゅう
地球;chikyū;ちきゅう;bumi;第6週;3日目;Hari ke-38;地:ち|球:きゅう
電球;denkyū;でんきゅう;bola lampu;第6週;3日目;Hari ke-38;電:でん|球:きゅう
決める;kimeru;きめる;memutuskan;第6週;3日目;Hari ke-38;決:き
決まる;kimaru;きまる;diputuskan;第6週;3日目;Hari ke-38;決:き
決して;kesshite;けっして;sama sekali (tidak);第6週;3日目;Hari ke-38;決:けっ
決定;kettei;けってい;ditentukan;第6週;3日目;Hari ke-38;決:けっ|定:てい
勝つ;katsu;かつ;menang;第6週;3日目;Hari ke-38;勝:か
決勝;kesshyō;けっしょう;final;第6週;3日目;Hari ke-38;決:けっ|勝:しょう
優勝;yūshyō;ゆうしょう;juara;第6週;3日目;Hari ke-38;優:ゆう|勝:しょう
1対2;ittaini;いったいに;1-2 (skor);第6週;3日目;Hari ke-38;対:たい
反対;hantai;はんたい;berlawanan, tidak setuju;第6週;3日目;Hari ke-38;反:はん|対:たい
流す;nagasu;ながす;mengalirkan;第6週;3日目;Hari ke-38;流:なが
流れる;nagareru;ながれる;mengalir;第6週;3日目;Hari ke-38;流:なが
負ける;makeru;まける;kalah;第6週;3日目;Hari ke-38;負:ま
勝負;shōbu;しょうぶ;menang-kalah;第6週;3日目;Hari ke-38;勝:しょう|負:ぶ
投げる;nageru;なげる;melempar;第6週;3日目;Hari ke-38;投:なげ
投手;tōshū;とうしゅ;pelempar (baseball);第6週;3日目;Hari ke-38;投:とう|手:しゅ
結果;kekka;けっか;hasil;第6週;3日目;Hari ke-38;結:けっ|果:か
果物;kudamono;くだもの;buah-buahan;第6週;3日目;Hari ke-38;果:くだ|物:もの
戦う;tatakau;たたかう;bertarung;第6週;4日目;Hari ke-39;戦:たたか
戦争;sensō;せんそう;perang;第6週;4日目;Hari ke-39;戦:せん|争:そう
戦後;sengo;せんご;setelah perang;第6週;4日目;Hari ke-39;戦:せん|後:ご
経験;keiken;けいけん;pengalaman;第6週;4日目;Hari ke-39;経:けい|験:けん
経営;keiei;けいえい;manajemen;第6週;4日目;Hari ke-39;経:けい|営:えい
済む;sumu;すむ;selesai;第6週;4日目;Hari ke-39;済:す
経済;keizai;けいざい;ekonomi;第6週;4日目;Hari ke-39;経:けい|済:ざい
完成;kansei;かんせい;selesai (membuat);第6週;4日目;Hari ke-39;完:かん|成:せい
成長;seichyō;せいちょう;tumbuh;第6週;4日目;Hari ke-39;成:せい|長:ちょう
貿易;bōeki;ぼうえき;perdagangan;第6週;4日目;Hari ke-39;貿:ぼう|易:えき
易しい;yasashī;やさしい;mudah;第6週;4日目;Hari ke-39;易:やさ
輸出;yushutsu;ゆしゅつ;ekspor;第6週;4日目;Hari ke-39;輸:ゆ|出:しゅつ
輸入;yunyū;ゆにゅう;impor;第6週;4日目;Hari ke-39;輸:ゆ|入:にゅう
輸送;yusō;ゆそう;mengirim, transportasi;第6週;4日目;Hari ke-39;輸:ゆ|送:そう
相談;sōdan;そうだん;konsultasi, berunding;第6週;4日目;Hari ke-39;相:そう|談:だん
相手;aite;あいて;pasangan, lawan bicara;第6週;4日目;Hari ke-39;相:あい|手:て
首相;shushō;しゅしょう;perdana menteri;第6週;4日目;Hari ke-39;首:しゅ|相:しょう
文化;bunka;ぶんか;budaya;第6週;5日目;Hari ke-40;文:ぶん|化:か
化学;kagaku;かがく;kimia;第6週;5日目;Hari ke-40;化:か|学:がく
化粧;keshyō;けしょう;merias (wajah);第6週;5日目;Hari ke-40;化:け|粧:しょう
比べる;kuraberu;くらべる;membandingkan;第6週;5日目;Hari ke-40;比:くら
原料;genryō;げんりょう;bahan dasar;第6週;5日目;Hari ke-40;原:げん|料:りょう
原因;genin;げんいん;penyebab;第6週;5日目;Hari ke-40;原:げん|因:いん
国際;kokusai;こくさい;international;第6週;5日目;Hari ke-40;国:こく|際:さい
交際;kōsai;こうさい;bergaul, berpacaran;第6週;5日目;Hari ke-40;交:こう|際:さい
会議;kaigi;かいぎ;rapat;第6週;5日目;Hari ke-40;会:かい|議:ぎ
議員;gi'in;ぎいん;anggota parlemen;第6週;5日目;Hari ke-40;議:ぎ|員:いん
生活;seikatsu;せいかつ;kehidupan;第6週;5日目;Hari ke-40;生:せい|活:かつ
活動;katsudō;かつどう;aktivitas, kegiatan;第6週;5日目;Hari ke-40;活:かつ|動:どう
変える;kaeru;かえる;merubah;第6週;5日目;Hari ke-40;変:かえ
変わる;kawaru;かわる;berubah;第6週;5日目;Hari ke-40;変:かわ
変化;henka;へんか;perubahan;第6週;5日目;Hari ke-40;変:へん|化:か
大変（な）;taihen (na);たいへん（な）;berat, sulit;第6週;5日目;Hari ke-40;大:たい|変:へん
政治;seiji;せいじ;politik;第6週;6日目;Hari ke-41;政:せい|治:じ
政治家;seijika;せいじか;politikus;第6週;6日目;Hari ke-41;政:せい|治:じ|家:か
政府;seifu;せいふ;pemerintahan;第6週;6日目;Hari ke-41;政:せい|府:ふ
都道府県;todōfuken;とどうふけん;prefektur;第6週;6日目;Hari ke-41;都:と|道:どう|府:ふ|県:けん
改める;aratameru;あらためる;merubah;第6週;6日目;Hari ke-41;改:あらた
改正;kaisei;かいせい;revisi;第6週;6日目;Hari ke-41;改:かい|正:せい
改札口;kaisatsuguchi;かいさつぐち;gate keluar-masuk stasiun;第6週;6日目;Hari ke-41;改:かい|札:さつ|口:ぐち
実は;jitsu wa;じつは;sebenarnya;第6週;6日目;Hari ke-41;実:じつ
実験;jikken;じっけん;percobaan;第6週;6日目;Hari ke-41;実:じっ|験:けん
実際に;jissaini;じっさいに;sesungguhnya;第6週;6日目;Hari ke-41;実:じっ|際:さい
欠ける;kakeru;かける;berkurang;第6週;6日目;Hari ke-41;欠:か
欠点;ketten;けってん;kelemahan, kekurangan;第6週;6日目;Hari ke-41;欠:けっ|点:てん
欠席;kesseki;けっせき;tidak hadir;第6週;6日目;Hari ke-41;欠:けっ|席:せき
専門;senmon;せんもん;bidang khusus;第6週;6日目;Hari ke-41;専:せん|門:もん
専門家;senmonka;せんもんか;spesialis (orang);第6週;6日目;Hari ke-41;専:せん|門:もん|家:か
否定;hitei;ひてい;menyangkal;第6週;6日目;Hari ke-41;否:ひ|定:てい
否定的;hiteiteki;ひていてき;menyangkal, negatif;第6週;6日目;Hari ke-41;否:ひ|定:てい|的:てき
国際的;kokusai-teki;こくさいてき;secara internasional;第6週;6日目;Hari ke-41;国:こく|際:さい|的:てき
個人的;kojin-teki;こじんてき;secara pribadi;第6週;6日目;Hari ke-41;個:こ|人:じん|的:てき
目的;mokuteki;もくてき;tujuan;第6週;6日目;Hari ke-41;目:もく|的:てき
死亡;shibō;しぼう;meninggal;第6週;7日目;Hari ke-42;死:し|亡:ぼう
亡くなる;nakunaru;なくなる;meninggal;第6週;7日目;Hari ke-42;亡:なく
忙しい;isogashii;いそがしい;sibuk;第6週;7日目;Hari ke-42;忙:いそが
多忙（な）;tabō (na);たぼう（な）;sibuk;第6週;7日目;Hari ke-42;多:た|忙:ぼう
忘れる;wasureru;わすれる;lupa;第6週;7日目;Hari ke-42;忘:わす
忘れ物;wasuremono;わすれもの;barang ketinggalan;第6週;7日目;Hari ke-42;忘:わす|物:もの
忘年会;bōnenkai;ぼうねんかい;pesta akhir tahun;第6週;7日目;Hari ke-42;忘:ぼう|年:ねん|会:かい
お祭り;omatsuri;おまつり;festival;第6週;7日目;Hari ke-42;お:お|祭:まつり
文化祭;bunkasai;ぶんかさい;festival budaya;第6週;7日目;Hari ke-42;文:ぶん|化:か|祭:さい
情報;jōhō;じょうほう;informasi;第6週;7日目;Hari ke-42;情:じょう|報:ほう
表情;hyōjō;ひょうじょう;ekspresi muka;第6週;7日目;Hari ke-42;表:ひょう|情:じょう
事情;jijō;じじょう;alasan, kondisi;第6週;7日目;Hari ke-42;事:じ|情:じょう
感情;kanjō;かんじょう;emosi;第6週;7日目;Hari ke-42;感:かん|情:じょう
反対;hantai;はんたい;berlawanan, tidak setuju;第6週;7日目;Hari ke-42;反:はん|対:たい
苦労;kurō;くろう;bersusah-payah;第6週;7日目;Hari ke-42;苦:く|労:ろう
労働者;rōdōsha;ろうどうしゃ;pekerja;第6週;7日目;Hari ke-42;労:ろう|働:どう|者:しゃ
加える;kuwaeru;くわえる;menambahkan;第6週;7日目;Hari ke-42;加:くわ
参加;sanka;さんか;ikut serta;第6週;7日目;Hari ke-42;参:さん|加:か
増加;zōka;ぞうか;bertambah, meningkat;第6週;7日目;Hari ke-42;増:ぞう|加:か
